,ItemNumber,Category,CategoryName,ItemDescription,BottleVolume(ml),Proof,Imported,Type
4239,26185,1701100.0,temporary & specialty packages,hooten young american whiskey 12 yr,750.0,92.0,domestic,whiskey
4240,86604,1081600.0,whiskey liqueur,ballotin chocolate whiskey chocolate mint,750.0,60.0,domestic,whiskey
4241,916179,1011100.0,blended whiskies,starward two fold,750.0,80.0,domestic,whiskey
4242,87636,1022200.0,100% agave tequila,elvelo blanco tequila,1000.0,89.0,domestic,tequila
4243,88189,1022100.0,mixto tequila,olmeca altos plata,375.0,80.0,domestic,tequila
4244,37571,1031100.0,american vodkas,sarges spirits vodka,750.0,80.0,domestic,vodka
4245,905198,1011100.0,blended whiskies,great king st. glasgow,750.0,86.0,domestic,whiskey
4246,86285,1701100.0,temporary & specialty packages,el mayor extra anejo port finish,750.0,80.0,domestic,other
4247,88818,1701100.0,temporary & specialty packages,bp maestro dobel anejo,750.0,80.0,domestic,other
4248,86606,1081600.0,whiskey liqueur,ballotin chocolate whiskey original chocolate,750.0,60.0,domestic,whiskey
4249,28691,1701100.0,temporary & specialty packages,masahiro okinawa gin recipe 1,750.0,94.0,domestic,gin
4250,15548,1701100.0,temporary & specialty packages,drumshanbo single malt irish whiskey,700.0,92.0,domestic,whiskey
4251,76842,1031200.0,american flavored vodka,the original pickle shot mini (spicy pickle vodka),50.0,30.0,domestic,vodka
4252,999938,1011700.0,corn whiskies,methanol moonshine imca super nationals stockcar 2022,750.0,100.0,domestic,whiskey
4253,921219,1011200.0,straight bourbon whiskies,rebel distillers collection buy the barrel,750.0,113.0,domestic,whiskey
4254,86022,1701100.0,temporary & specialty packages,cody road experimental - vermouth barrel finish rye,750.0,90.0,domestic,other
4255,999934,1011700.0,corn whiskies,methanol moonshine pa posse,750.0,100.0,domestic,whiskey
4256,27615,1701100.0,temporary & specialty packages,white dog mash #1,375.0,125.0,domestic,other
4257,994853,1011200.0,straight bourbon whiskies,traverse city whiskey co. barrel proof bourbon,750.0,119.0,domestic,whiskey
