,StoreNumber,StoreName,County,CountyNumber,City,ZipCode,StoreLocation,Address,StoreType
1547,2674,hy-vee food store / lamoni,decatur,27,lamoni,50140,POINT (-93.924475 40.623647),720 east main,Other Grocery
1548,5216,casey's general store #2683  /  runn,polk,77,runnells,50237,POINT (-93.357883 41.522454),"6301, se 116th st",Convenience
1549,4708,no frills supermarkets #803 / glenwo,mills,65,glenwood,51534,POINT (-95.742987 41.04635),423 sharp st,Other Grocery
1550,5394,casey's general store #2183/decorah,winneshiek,96,decorah,52101,POINT (-91.754302 43.289229),1807 old stage rd.,Convenience
1551,9042,"american heritage distillers, llc",missing,999999,missing,,,missing,Liquor/Tobacco
1552,5479,casey's general store #3534 / clermont,fayette,33,clermont,52135,POINT (-91.659241 42.996807),74 mill street,Convenience
1553,5841,sweetwater spirits - livermore,humboldt,46,livermore,50558,POINT (-94.185291 42.868501),405 4th avenue,Liquor/Tobacco
1554,5785,casey's general store #2491 / clarinda,page,73,clarinda,51632,POINT (-95.03782 40.727464),1107 s 16th st,Convenience
1555,6212,hampton crossroads / hampton,franklin,35,hampton,50441,POINT (-93.202489 42.741526),4 4th street southeast,Other
1556,4775,casey's general store #37 / dakota city,humboldt,46,dakota city,50529,POINT (-94.200785 42.721419),"502, main",Convenience
1557,6199,blind pig cocktail bodega west des moines,polk,77,west des moines,,,missing,Other
1558,4788,walgreens #12580 / cedar rapids,linn,57,cedar rapids,52405,POINT (-91.715942 41.975039),324 edgewood rd nw,Drug
1559,4736,walgreens #03876 / marion,linn,57,marion,52302,POINT (-91.596312 42.033295),1225 7th ave,Drug
1560,5967,casey's general store #1728 / red oak,montgomery,69,red oak,51566,POINT (-95.23272 41.016443),1310 n. broadway st,Convenience
1561,2710,hy-vee gas #1 / ottumwa,wapello,90,ottumwa,52501,POINT (-92.438465 41.016113),1027 n quincy ave,Convenience
1562,5697,casey's #3770 - glenwood,mills,65,glenwood,51534,POINT (-95.744501 41.040507),601 s locust street,Convenience
1563,4857,westland fast break,des moines,29,west burlington,52655,POINT (-91.169516 40.811817),1108 w agency rd,Other
1564,5854,casey's general store #1068 - davenport,scott,82,davenport,52804,POINT (-90.688914 41.508518),11200 140th street,Convenience
1565,5805,casey's general store #2229 / osage,mitchell,66,osage,50461,POINT (-92.797458 43.284162),1430 main st,Convenience
1566,5556,casey's general store #2891 / fort dodge,webster,94,fort dodge,50501,POINT (-94.20311 42.48687),235 ave o,Convenience
1567,5513,richmond & ferry bp,wapello,90,ottumwa,52501,POINT (-92.432517 41.007272),720 richmond ave,Other
1568,4753,casey's general store #2521 / adair,adair,1,adair,50002,POINT (-93.300253 41.013948),110 s 5th st,Convenience
1569,4991,fasttrak,clayton,22,elkader,52043,POINT (-91.387499 42.864239),24687 hwy 13 n,Other
1570,5787,casey's general store #2699 / essex,page,73,essex,51638,POINT (-95.309361 40.832502),1482 state hwy 48,Convenience
1571,4934,casey's general store #2811 / springville,linn,57,springville,52336,POINT (-91.443745 42.050954),"605, 6th st s",Convenience
1572,5760,casey's general store #72 / tipton,cedar,16,tipton,52772,POINT (-91.128408 41.777515),1107 cedar st,Convenience
1573,5420,casey's general store # 2212/ cedar rapids,linn,57,cedar rapids,52404,POINT (-91.656312 41.937617),130 41st ave. dr. sw,Convenience
1574,5551,casey's general store #2769 / williamsburg,iowa,48,williamsburg,52361,POINT (-92.009121 41.689477),130 w evans st,Convenience
1575,5964,casey's general store #3032 / chariton,lucas,59,chariton,50049,POINT (-93.308367 41.017872),335 n main st,Convenience
1576,5610,casey's general store #2690 / anamosa,jones,53,anamosa,52205,POINT (-91.280257 42.108262),500 e main st,Convenience
1577,5752,casey's general store #2481 / bloomfield,davis,26,bloomfield,52537,POINT (-92.41369 40.750602),206 s washington,Convenience
1578,4380,kum & go #254 / west branch,cedar,16,west branch,52358,POINT (-91.346676 41.668271),620 s downey st,Convenience
1579,5574,casey's general store #2760 / marion,linn,57,marion,52302,POINT (-91.598165 42.020927),975 s 11th st,Convenience
1580,5830,casey's general store #1911 / newton,jasper,50,newton,50208,POINT (-93.040372 41.699251),1018 1st ave e,Convenience
1581,4573,casey's general store #1330 / hamburg,fremont,36,hamburg,51640,POINT (-95.654604 40.605217),1211 washington st,Convenience
1582,4537,casey's general store #1834 / leon,decatur,27,leon,50144,POINT (-93.747901 40.742126),401 nw church st,Convenience
1583,5354,kimmes wall lake,sac,81,wall lake,51466,POINT (-95.090639 42.271309),129 center street,Other
1584,5632,one stop shop,pocahontas,76,pocahontas,50574,POINT (-94.679177 42.732603000000005),700 w elm ave,Convenience
1585,5990,casey's general store #1610 / knoxville,marion,63,knoxville,50138,POINT (-93.109524 41.317658),203 s. lincoln st,Convenience
1586,5602,casey's general store #2585 / dyersville,dubuque,31,dyersville,52040,POINT (-91.114268 42.47357),1402 9th st se,Convenience
1587,4472,quick shop foods / centerville,appanoose,4,centerville,52544,POINT (-92.874182 40.72417500000001),1023 south main,Other Grocery
